Northeast,West,Midwest,South
QNS27062.1,QJF76498.1,QTJ87072.1,QQV32928.1
QNS26594.1,QRN58794.1,QSO40757.1,QQS77433.1
QNS26606.1,QUG14648.1,QWY18822.1,QKE11719.1
QRW54464.1,QRG52112.1,QRG52100.1,QRW68036.1
QRW60745.1,QSW43885.1,QQX20707.1,QRW50373.1
QWY53503.1,QSM08250.1,QRG51950.1,QSG74395.1
QOC62635.1,QQX20899.1,QRW45554.1,QPI69705.1
QRW52386.1,QRC42637.1,QRW46783.1,QQX22483.1
QQV34026.1,QWW94885.1,QPB45674.1,QRW56874.1
QNC03203.1,QRW46153.1,QOL83353.1,QMV29776.1
QJS57303.1,QOH29125.1,QRC44833.1,QQV34455.1
QRW60282.1,QSG80257.1,QTO73280.1,QNQ15728.1
QRC42421.1,QOR54489.1,QQX22423.1,QNN87052.1
QRO06016.1,QPB14546.1,QRC43093.1,QRW54212.1
QQX18636.1,QUG14192.1,QNV70506.1,QTW31966.1
QTP26427.1,QQX21799.1,QMU94164.1,QTV36653.1
QKG86678.1,QRC46453.1,QLG97615.1,QQX20491.1
QUA14221.1,QRC42373.1,QQX20395.1,QQV33636.1
QQV33978.1,QTM63620.1,QQX20407.1,QTM65287.1
QTJ87192.1,QRC42265.1,QKN19839.1,QQE69745.1
QRC45229.1,QOR63322.1,QJX70263.1,QJQ84304.1
QRW48975.1,QOI60382.1,QRC43117.1,QXC78332.1
QRW71682.1,QJS56943.1,QRW52614.1,QQX20995.1
QRW46951.1,QQV35031.1,QRW68687.1,QQX23179.1
QRW62418.1,QQV33120.1,QRM14346.1,QOU82935.1
